Metadata_platename,Metadata_well,sen_score,std_sen_score,cell_no,number_sen
E31L458-0-5,C23,2.675289174226558,0.7424393266886146,1069,277
E31L458-0-5,C24,2.7208633267144857,0.7590724270160978,930,257
E31L458-0-5,D01,2.6817612997388918,0.7349455355204395,1001,245
E31L458-0-5,D02,2.716601707335182,0.7131278215246865,1089,282
E31L458-0-5,D03,2.7422795036066994,0.6677186685544655,1186,290
E31L458-0-5,D04,2.756388253053109,0.6608018898527294,1163,273
E31L458-0-5,D05,2.758998135361624,0.7378832876916864,1156,313
E31L458-0-5,D06,2.7689651666059594,0.6840931856973232,1206,315
E31L458-0-5,D07,2.7022964591272105,0.6835038240842872,1104,231
E31L458-0-5,D08,2.735869036468221,0.7077384973342205,1146,286
E31L458-0-5,D09,2.9483213377796824,0.6561841915837416,1894,641
E31L458-0-5,D10,2.928046381929413,0.6904808237661564,1851,636
E31L458-0-5,D11,2.7659537165458246,0.6940172677298454,989,273
E31L458-0-5,D12,2.759495244800035,0.7008463567196132,1157,301
E31L458-0-5,D13,2.719294857893567,0.6904490912026494,1099,275
E31L458-0-5,D14,2.6956477542854405,0.7704067746199605,1266,313
E31L458-0-5,D15,2.7356302749357164,0.6999375067739929,1221,301
E31L458-0-5,D16,2.7780725537012145,0.7149809211777437,1201,333
E31L458-0-5,D17,2.769175069092496,0.7302361046915464,1149,318
E31L458-0-5,D18,2.7735914503969568,0.7368668433473926,1219,346
E31L458-0-5,D19,2.7778249965477975,0.7070676648317832,1186,319
E31L458-0-5,D20,2.7490607638290228,0.7018324513212482,1249,312
E31L458-0-5,D21,2.7213337652833434,0.6953729666369685,1174,285
E31L458-0-5,D22,2.6668328762503855,0.7151809428254984,1181,286
E31L458-0-5,D23,2.6585932479496273,0.7517785890107548,1163,285
E31L458-0-5,D24,2.7472678542896767,0.7349880453873846,1103,308
E31L458-0-5,E01,2.6100202600965443,0.7459415617811865,1064,244
E31L458-0-5,E02,2.632683013242898,0.7323833061126376,994,220
E31L458-0-5,E03,2.706733052339725,0.7294636922208212,1264,320
E31L458-0-5,E04,2.7226677135215978,0.7100787189696669,1280,305
E31L458-0-5,E05,2.664323033630088,0.738019430271402,1296,307
E31L458-0-5,E06,2.7631199654951915,0.6946393506766958,1345,359
E31L458-0-5,E07,2.6416402022544103,0.7583978155701336,1253,283
E31L458-0-5,E08,2.7513048161767246,0.7107498860388088,1234,332
E31L458-0-5,E09,2.524336169483578,0.7341659566488034,1279,239
E31L458-0-5,E10,2.588784474390409,0.78176340955502,1064,242
E31L458-0-5,E11,2.7281799305003687,0.7243200684831468,1549,395
E31L458-0-5,E12,2.7479953310959804,0.7385779835873213,1361,382
E31L458-0-5,E13,2.672769910092736,0.7084640327577804,1751,390
E31L458-0-5,E14,2.7666390379113524,0.6670406478382648,990,246
E31L458-0-5,E15,2.755827482036485,0.730814363476577,1316,346
E31L458-0-5,E16,2.530365297335022,0.6934928255936617,1479,239
E31L458-0-5,E17,2.685160790723959,0.7215119630034146,1278,323
E31L458-0-5,E18,2.7333768305051485,0.7157908651894969,1350,355
E31L458-0-5,E19,2.7146876985385338,0.7420259869384654,1242,319
E31L458-0-5,E20,2.7418132260298895,0.7272029505715206,1386,388
E31L458-0-5,E21,2.720671591824565,0.7116721892778518,1399,342
E31L458-0-5,E22,3.0602376316778725,0.6616890799330662,702,303
E31L458-0-5,E23,2.6583775351552728,0.7749100760013808,1228,293
E31L458-0-5,E24,2.682488819234132,0.7223212542403237,1029,245
E31L458-0-5,F01,2.6283092362020235,0.7088186662254027,1022,204
E31L458-0-5,F02,2.7007636273721505,0.7331704951481817,1148,288
E31L458-0-5,F03,2.761609967770713,0.6809365047012725,1166,306
E31L458-0-5,F04,2.7641407632519344,0.7124561063463133,1302,336
E31L458-0-5,F05,2.7079076262470845,0.7256112395133629,1319,319
E31L458-0-5,F06,2.7526364315003726,0.6793742030640193,1299,332
E31L458-0-5,F07,2.8250066908899756,0.7019133333697967,1101,331
E31L458-0-5,F08,2.7368729571998505,0.6624695759117729,1227,309
E31L458-0-5,F09,2.7843275203770834,0.7004297284798959,1323,348
E31L458-0-5,F10,2.772855199635961,0.7659811702686979,1276,377
E31L458-0-5,F11,2.7392231828112665,0.7382625907954871,1303,347
E31L458-0-5,F12,2.6171741811312037,0.8082621020262116,1026,250
E31L458-0-5,F13,2.674140560272475,0.7063564986309733,1339,316
E31L458-0-5,F14,2.7550560994770468,0.6795115838738757,1274,307
E31L458-0-5,F15,2.7368941142453362,0.717994633503718,1270,331
E31L458-0-5,F16,2.7424015635636163,0.6918360603449965,1321,328
E31L458-0-5,F17,2.7367462037380093,0.7048623858981241,1283,339
E31L458-0-5,F18,2.7003118872584015,0.6803545265918516,1264,294
E31L458-0-5,F19,2.739967367733955,0.7282299806636713,1405,375
E31L458-0-5,F20,2.769542288759654,0.6812290026345581,1112,256
E31L458-0-5,F21,2.821808503763815,0.6793370685907897,1316,354
E31L458-0-5,F22,2.7590765683406193,0.7080164513375367,1071,287
E31L458-0-5,F23,2.699990174886241,0.707754780941156,1198,286
E31L458-0-5,F24,2.677907058481959,0.7540564403948251,1037,254
E31L458-0-5,G01,2.7271204564060603,0.7352307742971325,1100,293
E31L458-0-5,G02,2.62089193817753,0.7830564203901804,1074,254
E31L458-0-5,G03,2.715661347462578,0.7252590530707226,1329,322
E31L458-0-5,G04,2.7623825800246604,0.7160477978183253,1300,366
E31L458-0-5,G05,2.719903685305958,0.7210891428878875,1326,356
E31L458-0-5,G06,2.7211357182215603,0.7216606469720729,1376,346
E31L458-0-5,G07,2.78301830712752,0.6933935496797231,1433,397
E31L458-0-5,G08,2.793811278694241,0.7020897174290778,1366,378
E31L458-0-5,G09,2.7290036533519704,0.6934666924074435,1264,331
E31L458-0-5,G10,2.7415567177007145,0.6990598636692783,1210,323
E31L458-0-5,G11,2.7637926164044435,0.745200123514569,948,262
E31L458-0-5,G12,2.7561861232893894,0.7097836388122054,1395,384
E31L458-0-5,G13,2.7680846521147697,0.738859217711478,1418,403
E31L458-0-5,G14,2.723751740933731,0.7615324406872025,1486,406
E31L458-0-5,G15,2.7538640911985115,0.718385758626053,1429,384
E31L458-0-5,G16,2.7452291809455396,0.7081820599950601,1355,358
E31L458-0-5,G17,2.7364704258716617,0.7388826424687285,1438,376
E31L458-0-5,G18,2.7812749675658925,0.6903285760134801,1535,423
E31L458-0-5,G19,2.786785948830783,0.7122206732102146,1409,414
E31L458-0-5,G20,2.7788995824260203,0.7079718225420678,1394,394
E31L458-0-5,G21,2.7282953192496535,0.7562842109823067,1391,367
E31L458-0-5,G22,2.709259406758143,0.7161531925152163,1327,319
E31L458-0-5,G23,2.6686615152387576,0.7549591427027039,1302,324
E31L458-0-5,G24,2.8039598864179562,0.7424496128542869,1169,356
E31L458-0-5,H01,2.7003766167135046,0.755519081315772,1159,303
E31L458-0-5,H02,2.7430531072031075,0.7490392978395428,1201,315
E31L458-0-5,H03,2.7161379616377404,0.6864122802095213,1156,277
E31L458-0-5,H04,2.7674664843780894,0.67517644899329,1252,344
E31L458-0-5,H05,2.768719401885471,0.699748175868313,1297,341
E31L458-0-5,H06,2.849875517566586,0.7148601401062151,1169,392
E31L458-0-5,H07,2.743623869186469,0.7015241483845472,1310,337
E31L458-0-5,H08,2.7901389106892758,0.6806448849304195,1226,310
E31L458-0-5,H09,2.7505245464449866,0.712633053612315,1601,419
E31L458-0-5,H10,2.7475139293501005,0.6877739397011614,1308,321
E31L458-0-5,H11,2.7712456952650566,0.7528230212910662,181,53
E31L458-0-5,H12,2.840476976008787,0.6982641908398607,1322,387
E31L458-0-5,H13,2.7226994311176744,0.6995079498567037,1372,331
E31L458-0-5,H14,2.7468060809509525,0.7126302603078656,1395,358
E31L458-0-5,H15,2.7042589978462432,0.7320911719534019,1438,356
E31L458-0-5,H16,2.773890453755042,0.6964081455008033,1374,359
E31L458-0-5,H17,2.748873912672166,0.7168060663056065,1399,365
E31L458-0-5,H18,2.7637176063079196,0.6975463991387637,1347,350
E31L458-0-5,H19,2.7634052442412163,0.6822222660358066,1281,337
E31L458-0-5,H20,2.7153255843731543,0.6943199729191116,1408,333
E31L458-0-5,H21,2.933198385547492,0.6734392807851401,938,313
E31L458-0-5,H22,2.7704617823425224,0.6961408428972117,1259,318
E31L458-0-5,H23,2.733333307257397,0.7544030758601693,1144,324
E31L458-0-5,H24,2.6958542130767142,0.7266824493552646,1110,287
E31L458-0-5,I01,2.7199638374026303,0.7434518948463597,1134,304
E31L458-0-5,I02,2.7288194950309568,0.7288995052672792,1221,328
E31L458-0-5,I03,2.6783545710986134,0.7218301382170272,1191,289
E31L458-0-5,I04,2.697029224858861,0.7380727700875551,1326,337
E31L458-0-5,I05,2.7110915477844006,0.733279652311853,1442,365
E31L458-0-5,I06,2.747078104101321,0.7155300027042459,1288,350
E31L458-0-5,I07,2.719688140545968,0.7377635566816079,1387,356
E31L458-0-5,I08,2.74307066544894,0.7333321130574729,1239,341
E31L458-0-5,I09,2.7305457658337384,0.688603965782778,1246,317
E31L458-0-5,I10,2.7062857105559397,0.719773025707784,1377,345
E31L458-0-5,I11,2.65104780387653,0.7654068635193935,1204,301
E31L458-0-5,I12,2.722544933248949,0.7361479981040369,1277,333
E31L458-0-5,I13,2.775264014819502,0.7087904151916341,1350,378
E31L458-0-5,I14,2.7509810392350924,0.7105238166716618,1232,337
E31L458-0-5,I15,2.7360414927158008,0.7502858665935204,1315,374
E31L458-0-5,I16,2.6951545776055026,0.7104273160196202,1333,333
E31L458-0-5,I17,2.6617736434402754,0.7500999186503906,1334,337
E31L458-0-5,I18,2.697136864051923,0.7586990447933928,1375,355
E31L458-0-5,I19,2.7757039343264154,0.70698424836182,1328,371
E31L458-0-5,I20,2.747055479448936,0.6834647077815974,1326,334
E31L458-0-5,I21,2.721698598189992,0.7006569177176544,1200,287
E31L458-0-5,I22,2.6954994773382452,0.7429183781697277,1305,321
E31L458-0-5,I23,2.689348876332146,0.7678196960830056,1109,298
E31L458-0-5,I24,2.766582488468654,0.7459171176737759,1195,337
E31L458-0-5,J01,2.7507881671301178,0.712150537565978,1239,332
E31L458-0-5,J02,2.7052134918361923,0.7373360634572469,1056,281
E31L458-0-5,J03,2.7510978530629093,0.7093408131619532,1213,312
E31L458-0-5,J04,2.7543389831900384,0.7206405557634241,1316,361
E31L458-0-5,J05,2.8756095653943667,0.6176489822246558,1043,281
E31L458-0-5,J06,2.818888107183138,0.7231967025796006,1391,419
E31L458-0-5,J07,2.7757531807181626,0.7090900446968186,1162,321
E31L458-0-5,J08,2.7174740947292753,0.7618465719226446,1060,284
E31L458-0-5,J09,2.776153629239884,0.6830763616710592,1272,338
E31L458-0-5,J10,2.7805353850403236,0.7067741774690407,1345,367
E31L458-0-5,J11,2.7797911458208966,0.7180489122629915,1245,365
E31L458-0-5,J12,2.8150729059964825,0.7467174787543177,1283,369
E31L458-0-5,J13,2.752673838817275,0.7163791443484832,1268,345
E31L458-0-5,J14,2.754536868164449,0.7182210257908673,1222,315
E31L458-0-5,J15,2.71482054715702,0.7253817569488374,1300,324
E31L458-0-5,J16,2.7742729634361085,0.69852019026377,1264,346
E31L458-0-5,J17,2.745659102488627,0.6959631831288036,1332,334
E31L458-0-5,J18,2.7942994764916347,0.6965818220492334,1216,331
E31L458-0-5,J19,2.6864490163131935,0.6900654300020074,1271,292
E31L458-0-5,J20,2.7263167060719598,0.6961916319931872,1237,298
E31L458-0-5,J21,2.7488246011237565,0.7217827869164406,1301,335
E31L458-0-5,J22,2.7730255917785067,0.7118183307908993,1252,328
E31L458-0-5,J23,2.7267351999398386,0.7134758349027575,1192,307
E31L458-0-5,J24,2.7485754885481737,0.7191880666052068,1080,291
E31L458-0-5,K01,2.714617318386376,0.7351260256098595,1486,379
E31L458-0-5,K02,2.7064267370531607,0.7290504332844924,1244,313
E31L458-0-5,K03,2.6887327913390955,0.6955231422560209,1273,307
E31L458-0-5,K04,2.797019656823708,0.7142628415303734,1537,447
E31L458-0-5,K05,2.73574033650908,0.7344652294793081,1292,348
E31L458-0-5,K06,2.7642265058190505,0.7395727992436048,1254,353
E31L458-0-5,K07,2.7452957835621294,0.7480324507144508,1376,385
E31L458-0-5,K08,2.6974933844333564,0.6856665042498464,1110,260
E31L458-0-5,K09,2.7231587242017548,0.7324625820196227,1445,367
E31L458-0-5,K10,2.7319132316769785,0.7205789537705082,1322,353
E31L458-0-5,K11,2.6568014462068072,0.7369333379000592,1423,346
E31L458-0-5,K12,2.7405795290132455,0.734586543983344,1216,316
E31L458-0-5,K13,2.70465232446176,0.7238681635905205,1142,285
E31L458-0-5,K14,2.7985377808815484,0.693859304493839,1480,420
E31L458-0-5,K15,2.7600596250137266,0.7197918830633032,1349,362
E31L458-0-5,K16,2.6925799163697186,0.7205168121209444,1271,302
E31L458-0-5,K17,2.70408203778438,0.7359915896257104,1526,381
E31L458-0-5,K18,2.7290888366812935,0.7354283720188509,1310,335
E31L458-0-5,K19,2.713364182603046,0.7363057781980977,1156,300
E31L458-0-5,K20,2.744802589344513,0.746582321750347,1340,372
E31L458-0-5,K21,2.742401030361358,0.683996572736491,1412,367
E31L458-0-5,K22,2.724510111780975,0.7165162863636361,1397,356
E31L458-0-5,K23,2.6729357485623626,0.7533317361867252,1043,264
E31L458-0-5,K24,2.7149997801223615,0.7777126606509961,1267,352
E31L458-0-5,L01,2.663634194174553,0.7180555639358359,1261,289
E31L458-0-5,L02,2.6764358184510524,0.7211495302472725,1130,261
E31L458-0-5,L03,2.74555167840632,0.728866754636268,1301,336
E31L458-0-5,L04,2.8778461985433728,0.6763768281136535,1275,413
E31L458-0-5,L05,2.6842081430299234,0.6035099536688232,1180,251
E31L458-0-5,L06,2.767052638164561,0.6909123558409025,1269,326
E31L458-0-5,L07,2.947101719676581,0.6474178448641774,2107,720
E31L458-0-5,L08,2.8086150453734424,0.6800736420720511,1283,360
E31L458-0-5,L09,2.7156825451396918,0.7110553145765584,1273,305
E31L458-0-5,L10,2.806039436208057,0.7012500022127216,1364,373
E31L458-0-5,L11,2.804919964740528,0.6862730077704832,862,238
E31L458-0-5,L12,2.751927469892002,0.720244548858873,1411,382
E31L458-0-5,L13,2.790393237167552,0.7136799985337571,1240,355
E31L458-0-5,L14,2.7137802173937193,0.7332072016644179,1259,323
E31L458-0-5,L15,2.7075416966352934,0.7464331429177747,1351,353
E31L458-0-5,L16,2.715873114872678,0.722509589167004,1175,292
E31L458-0-5,L17,2.718471579410129,0.6857895360505468,1111,264
E31L458-0-5,L18,2.773040441745689,0.6848639639122439,1154,310
E31L458-0-5,L19,2.760676507919284,0.712981200602632,1360,384
E31L458-0-5,L20,2.7206318383428525,0.7615941107405814,1307,347
E31L458-0-5,L21,2.879684919904393,0.700192164891794,1872,626
E31L458-0-5,L22,2.69219940192858,0.7321370832046212,1174,276
E31L458-0-5,L23,2.7230259528949365,0.7476680268043389,1200,322
E31L458-0-5,L24,2.697781730151926,0.7282211229183881,965,248
E31L458-0-5,M01,2.834733086639915,0.7748413993468554,204,81
E31L458-0-5,M02,2.99270221883314,0.6904883953171984,157,69
E31L458-0-5,M03,2.7547169218551493,0.7315023408097974,1280,357
E31L458-0-5,M04,2.6995086968987945,0.714141957325942,1343,344
E31L458-0-5,M05,2.732187297988272,0.7225795193499135,1246,327
E31L458-0-5,M06,3.120585036130317,0.7024654470667177,593,272
E31L458-0-5,M07,2.718392674678519,0.7504727892182766,1186,303
E31L458-0-5,M08,2.7374776320822862,0.7100951279653627,1304,325
E31L458-0-5,M09,2.7741758574148623,0.7094081223808539,1161,310
E31L458-0-5,M10,2.7261320177749666,0.7362182221475935,1128,299
E31L458-0-5,M11,2.754372736971572,0.7436250877080012,1394,404
E31L458-0-5,M12,2.7341656879161,0.7254520569152052,1263,342
E31L458-0-5,M13,2.6876772286320905,0.7352019057536366,1354,330
E31L458-0-5,M14,2.76790157639006,0.7258216253505245,1266,348
E31L458-0-5,M15,2.7297172457064782,0.7255027220972458,1063,270
E31L458-0-5,M16,2.690118779260911,0.7105912230842166,1154,280
E31L458-0-5,M17,2.697588742034605,0.7708617977456811,1324,352
E31L458-0-5,M18,2.736075941804314,0.6956811742562077,1385,347
E31L458-0-5,M19,2.7007679180473003,0.7279656960160352,1516,364
E31L458-0-5,M20,2.776667308317884,0.7094299608686795,1293,360
E31L458-0-5,M21,2.7379661923883254,0.7221850177833525,1367,373
E31L458-0-5,M22,2.7222488491252754,0.6886695415495349,1010,247
E31L458-0-5,M23,3.0161270017661854,0.659833307269429,152,79
E31L458-0-5,M24,2.9282528058899264,0.7880433891203003,135,65
E31L458-0-5,N01,3.0552837061788023,0.6512448449393178,159,85
E31L458-0-5,N02,2.873865806771261,0.7149827336941853,133,53
E31L458-0-5,N03,2.7214860591795915,0.6978336240477973,1078,262
E31L458-0-5,N04,2.7587185277307955,0.7064164565292506,1153,304
E31L458-0-5,N05,2.738973961662487,0.6872768084261133,1305,330
E31L458-0-5,N06,2.76383647646829,0.7187837891777433,1175,321
E31L458-0-5,N07,2.7395550455910422,0.7065407138366352,1238,315
E31L458-0-5,N08,2.6827132714391646,0.7090141472404797,1283,295
E31L458-0-5,N09,2.7070414250957304,0.6916120827001566,1151,279
E31L458-0-5,N10,2.726324485760926,0.6757239611407087,1171,281
E31L458-0-5,N11,2.679537673307911,0.7193139117964483,1318,314
E31L458-0-5,N12,2.7929505206276186,0.6735564203669502,1304,354
E31L458-0-5,N13,2.7108400423094663,0.721945239896604,1363,339
E31L458-0-5,N14,2.729988612965486,0.67290130110503,1197,288
E31L458-0-5,N15,2.805484500688395,0.7262655573243089,1018,305
E31L458-0-5,N16,2.7375728438390703,0.7314311341114297,1028,283
E31L458-0-5,N17,2.7646612736235716,0.6826539203760948,1212,321
E31L458-0-5,N18,2.7593251505989373,0.6754518580659371,1413,356
E31L458-0-5,N19,2.766956118420104,0.7355212729209321,1379,381
E31L458-0-5,N20,2.7004079927210065,0.7414771541489942,1245,293
E31L458-0-5,N21,2.747613360549562,0.6933674249830283,1313,344
E31L458-0-5,N22,2.6342966883925354,0.6628622080934621,28,9
E31L458-0-5,N23,3.055892231630068,0.6253681766787267,120,56
E31L458-0-5,N24,2.8141897526091597,0.7119688220945496,152,57
E31L458-0-5,O01,2.957737766931375,0.7770901437569245,165,75
E31L458-0-5,O02,3.0088553736158334,0.744744038908441,174,90
E31L458-0-5,O03,2.7003414236816865,0.7321456266624828,1256,324
E31L458-0-5,O04,2.707165167059144,0.7287834019011693,1283,311
E31L458-0-5,O05,2.7057529917642995,0.7518989911312995,1261,338
E31L458-0-5,O06,2.7338429318661044,0.6845067895511197,1292,332
E31L458-0-5,O07,2.752401940675945,0.7358394581785167,1349,374
E31L458-0-5,O08,2.748463477684389,0.7175052086779733,1193,315
E31L458-0-5,O09,2.7569484924964027,0.7269167507041563,1460,387
E31L458-0-5,O10,3.0395425993451033,0.7077380893709474,275,119
E31L458-0-5,O11,2.6955325232046383,0.7390343241883427,1315,325
E31L458-0-5,O12,2.3069727962529707,0.7528261464897296,1114,151
E31L458-0-5,O13,2.725928088664054,0.7731432099412254,1462,410
E31L458-0-5,O14,2.6761752360989126,0.7272885392454438,1217,290
E31L458-0-5,O15,2.735965231865457,0.7106408266348663,1312,340
E31L458-0-5,O16,2.7478521782182295,0.6905907719617139,1368,349
E31L458-0-5,O17,2.773405623810288,0.7224879105015692,1318,382
E31L458-0-5,O18,2.7566097630127873,0.706836107927713,1101,300
E31L458-0-5,O19,2.75316063202775,0.7567592777911691,1031,302
E31L458-0-5,O20,2.9136458754044345,0.6941951903212941,2203,768
E31L458-0-5,O21,2.6950063199029097,0.7509477472682162,1213,320
E31L458-0-5,O22,2.6579686884522,0.7170634353864459,1228,283
E31L458-0-5,O23,2.894791725494114,0.7554027034694875,119,49
E31L458-0-5,O24,2.9952444639428037,0.7312890925226161,158,78
E31L458-0-5,P01,2.885455456907102,0.6772040043617107,178,74
E31L458-0-5,P02,2.8777902854031225,0.6863683927557505,187,76
E31L458-0-5,P03,2.7425723643255164,0.7281236819881157,1243,332
E31L458-0-5,P04,2.771236190108981,0.6945935823188949,1336,356
E31L458-0-5,P05,2.728400126493339,0.7062464274265381,1326,336
E31L458-0-5,P06,2.7438289957137987,0.7161237389038806,1301,322
E31L458-0-5,P07,2.747648582097391,0.7172152811314662,1314,345
E31L458-0-5,P08,2.759858399518769,0.7056362556427112,1306,332
E31L458-0-5,P09,2.7468887499698065,0.7027685246576089,1289,312
E31L458-0-5,P10,2.7217795380281076,0.7043132320607174,1265,316
E31L458-0-5,P11,2.7033637188382547,0.6960203126049075,1192,284
E31L458-0-5,P12,2.8046233144702835,0.7394247308338132,1331,400
E31L458-0-5,P13,2.7125428885086533,0.7023300764650914,1060,238
E31L458-0-5,P14,3.0736848588557963,0.6557460925231477,816,331
E31L458-0-5,P15,2.753785111902546,0.7671702691711967,1157,337
E31L458-0-5,P16,2.582208465277151,0.5849316037019482,34,6
E31L458-0-5,P17,2.7531461570097893,0.7345808992174528,1405,401
E31L458-0-5,P18,2.4133379517516396,0.6912382235783231,362,46
E31L458-0-5,P19,2.6903797090819883,0.7883124894115272,972,287
E31L458-0-5,P20,2.745616530540662,0.7326004666444598,1110,296
E31L458-0-5,P21,2.7326745310571168,0.7198400305872638,1402,367
E31L458-0-5,P22,2.778453945826892,0.7119533102281861,998,282
E31L458-0-5,P23,2.799325338651907,0.7693180023515332,120,48
E31L458-0-5,P24,2.885822395921936,0.7251940174442828,131,62
E31L458-3,A01,2.8214439183775086,0.6959461639013333,1017,316
E31L458-3,A02,2.6784322745072204,0.7474296131954786,953,246
E31L458-3,A03,2.762977745720665,0.6776181192346193,1031,259
E31L458-3,A04,2.665125840591558,0.7336027796738992,830,191
E31L458-3,A05,2.6915503527140183,0.69899501027346,845,203
E31L458-3,A06,2.643403195324838,0.7517616696096319,833,186
E31L458-3,A07,2.6811911632887293,0.7294695365899454,824,201
E31L458-3,A08,2.5771662287675845,0.7815722397090097,781,170
E31L458-3,A09,2.6011139021231777,0.7686028006773002,531,121
E31L458-3,A10,2.746858430812186,0.6971075009163378,426,111
E31L458-3,A11,2.730104071982265,0.7675877513364748,638,177
E31L458-3,A12,2.667117253434252,0.6881721017813954,840,179
E31L458-3,A13,2.7345539206085396,0.7177672819340728,813,210
E31L458-3,A14,2.6302290155952703,0.6945326499798423,869,179
E31L458-3,A15,2.6985647757573505,0.6610692899651728,852,189
E31L458-3,A16,2.600202410720467,0.7847596418661891,822,190
E31L458-3,A17,2.69641432085101,0.7171627305138067,603,162
E31L458-3,A18,2.6964708707907645,0.7066345778868616,950,236
E31L458-3,A19,2.6622436090036103,0.6834134348366366,821,176
E31L458-3,A20,2.817761559631373,0.696076738945988,927,278
E31L458-3,A21,2.6924522591085815,0.7235056268907628,951,230
E31L458-3,A22,2.6373688322191553,0.7243062196180391,932,210
E31L458-3,A23,2.546071291790746,0.8264732193308473,603,144
